id,unitPrice,totalPrice,houseSize,dealHouseTxt,elevator,decorate,window,floorHight,lat,lng,room,area,hall
1,92857,520,56,733,1,0,1,3,39.904564,116.452179,1,1,1
2,103174,650,63,604,0,1,2,1,39.961282,116.427921,2,1,1
3,140769,1098,78,725,0,0,2,4,39.945516,116.409889,3,1,1
4,106481,575,54,717,0,0,2,3,39.951696,116.411106,1,1,1
5,95238,400,42,677,0,0,1,4,39.964303,116.417178,1,1,1
6,90833,545,60,624,0,0,1,2,39.960258,116.412956,2,1,1
7,76923,400,52,416,1,1,1,2,39.870683,116.421287,1,1,1
8,106666,320,30,753,1,1,1,2,39.901724,116.420519,1,1,0
9,90163,550,61,1076,0,1,2,1,39.962441,116.412947,2,1,1
10,85616,1250,146,1133,1,0,2,3,39.879709,116.447187,4,1,1
11,80000,480,60,741,0,0,2,2,39.893591,116.430282,2,1,1
12,88235,1050,119,946,1,1,2,2,39.906171,116.452005,2,1,1
13,96052,365,38,342,0,0,2,2,39.965144,116.430115,2,1,1
14,112500,585,52,435,1,0,2,3,39.957905,116.406775,1,1,1
15,82439,338,41,376,1,1,1,3,39.869884,116.41636,1,1,0
16,122222,660,54,488,0,0,2,1,39.944242,116.382662,2,2,1
17,91454,503,55,3000,0,0,2,4,39.892363,116.443966,2,1,1
18,85555,385,45,441,1,0,1,1,39.874484,116.408572,1,1,0
19,69642,780,112,488,1,1,2,2,39.870743,116.411554,2,1,1
20,89814,485,54,1012,0,1,2,1,39.893832,116.44696,2,1,1
21,96709,1499,155,943,0,1,2,3,39.967176,116.416074,3,1,1
22,71111,640,90,584,1,0,2,1,39.897946,116.451561,3,1,1
23,86363,380,44,671,1,0,1,2,39.948573,116.446413,1,1,1
24,98070,559,57,772,0,0,2,3,39.947007,116.451116,2,1,1
25,92783,900,97,946,1,1,2,3,39.906171,116.452005,2,1,1
26,95454,420,44,1102,1,1,1,2,39.957536,116.443471,1,1,1
27,110344,320,29,785,1,0,1,3,39.901724,116.420519,1,1,1
28,96202,760,79,622,1,1,1,2,39.964785,116.427983,2,1,1
29,102884,1070,104,3000,1,1,1,1,39.967093,116.412519,2,1,1
30,80281,570,71,93,1,1,1,3,39.949341,116.441805,2,1,1
31,83333,1300,156,3000,1,1,1,2,39.916581,116.436723,2,1,2
32,111111,400,36,237,0,1,1,2,39.898712,116.442168,1,1,1
33,109090,600,55,3000,0,0,2,1,39.955721,116.422632,2,1,1
34,93478,430,46,3000,1,1,1,2,39.968041,116.413127,1,1,1
35,107228,890,83,3000,0,0,3,1,39.924556,116.414205,3,1,1
36,100000,580,58,3000,0,0,2,2,39.958209,116.434475,2,1,1
37,104634,429,41,1148,0,1,2,3,39.969201,116.415078,1,1,1
38,133235,906,68,3000,0,0,2,2,39.93363,116.432632,2,1,1
39,108064,670,62,3000,1,0,2,1,39.95976,116.39706,2,2,1
40,90909,500,55,3000,0,0,2,2,39.960258,116.412956,2,1,1
41,95384,620,65,3000,0,0,2,2,39.942763,116.44424,3,1,1
42,112500,630,56,3000,0,1,2,2,39.962646,116.425469,2,1,1
43,115476,485,42,3000,0,1,1,2,39.928033,116.41576,1,1,1
44,73134,490,67,3000,0,0,2,2,39.888063,116.43998,3,1,1
45,95614,545,57,3000,1,0,1,2,39.943667,116.440683,2,1,1
46,83870,1300,155,3000,1,0,2,2,39.906171,116.452005,4,1,2
47,111428,780,70,3000,1,0,2,4,39.957905,116.406775,2,1,1
48,71028,760,107,3000,1,1,1,2,39.902673,116.423988,1,1,1
49,110740,598,54,3000,0,1,2,4,39.949588,116.418719,2,1,1
50,112222,505,45,3000,0,0,1,1,39.924556,116.414205,1,1,1
51,85000,425,50,3000,0,0,1,3,39.97688,116.54572,2,3,1
52,70370,760,108,539,0,0,2,4,39.895945,116.415213,3,1,1
53,96065,586,61,3000,0,1,1,3,39.905089,116.435568,2,1,1
54,90740,490,54,3000,0,0,2,3,39.964331,116.411923,2,1,1
55,80487,330,41,3000,0,0,1,2,39.87562,116.417737,1,1,1
56,92982,530,57,274,1,1,1,2,39.94616,116.441991,1,1,1
57,142413,413,29,379,1,0,1,1,39.9015,116.432085,1,1,1
58,112500,630,56,610,1,1,2,3,39.896433,116.441959,1,1,1
59,90157,1145,127,3000,1,0,2,3,39.906171,116.452005,2,1,2
60,97222,700,72,419,0,0,2,1,39.895945,116.415213,2,1,1
61,100000,830,83,472,1,0,2,2,39.964608,116.423408,2,1,1
62,88472,637,72,3000,0,0,1,1,39.969201,116.415078,2,1,1
63,80701,460,57,677,0,0,2,1,39.872717,116.417034,2,1,1
64,83561,610,73,3000,1,0,1,2,39.964608,116.423408,1,1,1
65,94680,890,94,803,0,1,2,3,39.904778,116.443877,3,1,2
66,100000,460,46,341,0,1,1,2,39.966964,116.422944,1,1,1
67,109756,450,41,3000,1,1,1,2,39.903204,116.436885,1,1,0
68,107142,1800,168,755,1,1,2,4,39.962069,116.404963,3,1,2
69,83720,720,86,772,0,0,2,2,39.966033,116.418056,4,1,1
70,130136,950,73,3000,0,1,2,4,39.923095,116.43773,2,1,1
71,88113,467,53,759,0,0,1,4,39.968453,116.419441,2,1,1
72,86206,500,58,3000,0,0,2,2,39.937367,116.4464,2,1,1
74,81690,580,71,543,1,1,1,2,39.897461,116.455287,2,1,2
75,100000,800,80,476,1,1,2,3,39.947134,116.423216,2,1,1
76,83424,1218,146,3000,1,1,2,1,39.900541,116.448439,3,1,2
77,72058,490,68,492,0,0,2,1,39.71192,116.384757,3,0,1
78,103658,425,41,3000,0,1,1,1,39.969201,116.415078,1,1,1
79,78723,370,47,953,1,0,1,2,39.880125,116.426659,2,1,1
80,101785,570,56,293,1,0,1,2,39.927599,116.434544,1,1,1
82,69411,590,85,3000,1,1,1,3,39.86929,116.411728,2,1,1
83,88157,335,38,3000,0,1,2,1,39.951398,116.45023,1,1,1
84,106451,330,31,579,1,0,1,3,39.901724,116.420519,1,1,1
85,89909,998,111,834,1,0,2,2,39.970724,116.417886,3,1,2
86,88461,460,52,150,0,1,2,1,39.966986,116.428124,1,1,1
